Trial	CURRENT_FIX_INTEREST_AREA_ID	Surprisal
9	2	0.622747
9	3	0.287517
9	4	1.35827
9	5	4.52538
9	6	0.561102
9	7	1.18383
9	8	0.326749
9	9	2.49348
9	10	1.40272
9	11	1.01428
9	12	0.6574805
9	13	0.940284
9	14	1.2181
9	15	1.2631
9	16	0.811673
9	17	0.283467
9	18	1.70238
9	19	1.22963
9	20	2.46226
9	21	1.55525
9	22	1.046784
9	23	0.644206
9	24	1.00945
9	25	1.2631
9	26	1.99614
9	27	0.859235
9	28	0.38561
9	29	0.865086
9	30	0.940284
9	31	0.691724
9	32	1.01162
9	33	1.22802
9	34	0.7017465
9	35	1.24777
9	36	1.18098
9	37	0.322469
9	38	1.35827
9	39	1.91674
9	40	1.0681
9	41	0.839714
9	42	0.702393
9	43	3.81683
9	44	0.490218
9	45	0.790658
9	46	0.8089305
9	47	1.12646
9	48	0.583544
9	49	0.928665
9	50	0.7517855
9	51	0.983783
9	52	0.837875
9	53	1.50958
9	54	1.17495
9	55	0.466427
9	56	1.47265
9	57	1.59467
9	58	0.685772
9	59	0.291491
9	60	0.53887
9	61	0.48011
9	62	2.03411
9	63	0.6342035
9	64	0.644206
9	65	0.332853
9	66	0.53887
9	67	0.48011
9	68	0.349913
9	69	1.35827
9	70	3.35415
9	71	1.921065
9	72	1.20225
9	73	1.47791
9	74	1.24777
9	75	1.02505
9	76	0.464255
9	77	0.8098815
9	78	0.8098815
9	79	0.916524
9	80	1.13103
9	81	1.63826
9	82	1.06532
9	83	1.36948
9	84	0.59931
9	85	1.26564
9	86	0.882805
9	87	1.4383145
9	88	0.901139
9	89	0.574796
9	90	2.4146
9	91	1.7264845
10	1	1.6578755
10	2	0.596769
10	3	0.574796
10	4	1.53535
10	5	1.81918
10	6	0.559719
10	7	0.448699
10	8	0.639772
10	9	0.527226
10	10	1.1875
10	11	0.579525
10	12	0.703711
10	13	0.283467
10	14	2.632565
10	15	0.997429
10	16	0.849707
10	17	0.703711
10	18	1.1632
10	19	1.2631
10	20	1.4701
10	21	1.1875
10	22	0.579525
10	23	0.703711
10	24	0.685715
10	25	0.171334
10	26	0.585859
10	27	0.7437
10	28	1.30204
10	29	2.63693
10	30	0.748229
10	31	1.55918
10	32	2.000895
10	33	1.24777
10	34	1.4731
10	35	0.929817
10	36	0.703711
10	37	0.283467
10	38	2.88192
10	39	1.02523
10	40	0.974867
10	41	0.848971
10	42	0.965028
10	43	0.748229
10	44	1.50298
